Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-27 20:00:00,144.0590,0.0080679,2024-08-28 00:45:00,143.9640,0.0077081,-0.0950,-0.07%,45.00%
USDJPY,60m,2024-08-27 09:00:00,145.0590,0.0651600,2024-08-28 00:00:00,143.9630,-0.0740934,-1.0960,-0.76%,45.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126900,2024-08-28 00:00:00,143.9630,-0.0622627,-1.0340,-0.71%,45.00%
EURUSD,15m,2024-08-27 21:30:00,1.1188,0.0000049,2024-08-28 00:45:00,1.1181,-0.0001215,-0.0008,-0.07%,89.00%
EURUSD,60m,2024-08-27 19:00:00,1.1189,0.0002011,2024-08-28 00:00:00,1.1181,0.0002009,-0.0009,-0.08%,89.00%
EURUSD,90m,2024-08-26 00:00:00,1.1202,0.0008235,2024-08-28 00:00:00,1.1181,0.0001270,-0.0021,-0.19%,89.00%
GBPUSD,15m,2024-08-27 21:00:00,1.3263,0.0000725,2024-08-28 00:45:00,1.3257,-0.0001457,-0.0007,-0.05%,93.00%
GBPUSD,60m,2024-08-27 10:00:00,1.3236,0.0003131,2024-08-28 00:00:00,1.3257,0.0003469,0.0021,0.16%,93.00%
GBPUSD,90m,2024-08-26 16:30:00,1.3199,-0.0004903,2024-08-28 00:00:00,1.3257,0.0003671,0.0058,0.44%,93.00%
AUDUSD,15m,2024-08-27 20:45:00,0.6795,0.0000644,2024-08-28 00:45:00,0.6788,-0.0000819,-0.0007,-0.11%,88.00%
AUDUSD,60m,2024-08-27 20:00:00,0.6795,0.0001228,2024-08-28 00:00:00,0.6788,0.0000934,-0.0007,-0.11%,88.00%
AUDUSD,90m,2024-08-27 19:30:00,0.6795,0.0000253,2024-08-28 00:00:00,0.6788,0.0000226,-0.0007,-0.11%,88.00%
USDCAD,15m,2024-08-27 20:00:00,1.3451,-0.0000500,2024-08-28 00:45:00,1.3447,0.0000618,-0.0004,-0.03%,11.00%
USDCAD,60m,2024-08-27 12:00:00,1.3478,0.0000675,2024-08-28 00:00:00,1.3447,-0.0001084,-0.0030,-0.22%,11.00%
USDCAD,90m,2024-08-27 12:00:00,1.3473,0.0001652,2024-08-28 00:00:00,1.3447,-0.0000132,-0.0026,-0.19%,11.00%
